         65600 function calls (64307 primitive calls) in 3.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    1.972    0.038    1.972    0.038 {method 'acquire' of '_thread.lock' objects}
        8    0.000    0.000    1.972    0.247 threading.py:556(wait)
       12    0.000    0.000    1.972    0.164 threading.py:280(wait)
        5    0.000    0.000    1.962    0.392 _base.py:201(as_completed)
        1    0.000    0.000    1.402    1.402 functions.py:237(imread)
        1    0.000    0.000    0.954    0.954 functions.py:148(get_reader)
        1    0.000    0.000    0.911    0.911 format.py:157(get_reader)
        1    0.000    0.000    0.911    0.911 format.py:215(__init__)
        1    0.000    0.000    0.911    0.911 pillow.py:297(_open)
        1    0.000    0.000    0.911    0.911 pillow.py:118(_open)
        1    0.000    0.000    0.911    0.911 pillow.py:666(pil_try_read)
        2    0.000    0.000    0.911    0.456 Image.py:1264(getdata)
        4    0.000    0.000    0.911    0.228 ImageFile.py:154(load)
        5    0.911    0.182    0.911    0.182 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.448    0.448 format.py:333(get_data)
        1    0.000    0.000    0.448    0.448 pillow.py:300(_get_data)
        1    0.000    0.000    0.447    0.447 pillow.py:167(_get_data)
        1    0.009    0.009    0.447    0.447 pillow.py:698(pil_get_frame)
        1    0.081    0.081    0.332    0.332 {built-in method numpy.array}
        1    0.010    0.010    0.251    0.251 Image.py:679(__array_interface__)
        1    0.004    0.004    0.241    0.241 Image.py:710(tobytes)
     8192    0.121    0.000    0.121    0.000 {method 'encode' of 'ImagingEncoder' objects}
        1    0.115    0.115    0.115    0.115 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.107    0.107 Image.py:862(convert)
        1    0.000    0.000    0.107    0.107 Image.py:1109(copy)
        1    0.107    0.107    0.107    0.107 {method 'copy' of 'ImagingCore' objects}
    86/47    0.000    0.000    0.044    0.001 <frozen importlib._bootstrap>:1002(_find_and_load)
    86/47    0.000    0.000    0.043    0.001 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        1    0.000    0.000    0.043    0.043 format.py:672(search_read_format)
       31    0.000    0.000    0.043    0.001 format.py:187(can_read)
       30    0.000    0.000    0.043    0.001 pillow.py:101(_can_read)
       31    0.000    0.000    0.043    0.001 pillow.py:78(_init_pillow)
    71/52    0.000    0.000    0.042    0.001 {built-in method builtins.__import__}
    85/47    0.000    0.000    0.040    0.001 <frozen importlib._bootstrap>:659(_load_unlocked)
    79/47    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap_external>:784(exec_module)
   117/47    0.000    0.000    0.036    0.001 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    79/47    0.000    0.000    0.034    0.001 {built-in method builtins.exec}
    95/79    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       26    0.000    0.000    0.026    0.001 Image.py:393(init)
       59    0.000    0.000    0.016    0.000 re.py:289(_compile)
       57    0.000    0.000    0.016    0.000 re.py:250(compile)
       43    0.000    0.000    0.015    0.000 sre_compile.py:759(compile)
      153    0.002    0.000    0.013    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.011    0.011 PdfImagePlugin.py:23(<module>)
        4    0.000    0.000    0.011    0.003 thread.py:155(submit)
        4    0.000    0.000    0.011    0.003 thread.py:174(_adjust_thread_count)
        1    0.000    0.000    0.011    0.011 PdfParser.py:1(<module>)
        4    0.000    0.000    0.011    0.003 threading.py:855(start)
       79    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:856(get_code)
       43    0.000    0.000    0.010    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.010    0.010 PdfParser.py:351(PdfParser)
   118/43    0.000    0.000    0.010    0.000 sre_parse.py:435(_parse_sub)
   141/51    0.003    0.000    0.010    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.008    0.008 Image.py:27(<module>)
        5    0.000    0.000    0.008    0.002 Image.py:347(preinit)
       86    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       79    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
       79    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
       43    0.000    0.000    0.005    0.000 sre_compile.py:598(_code)
       86    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       86    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
      110    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
   309/43    0.001    0.000    0.004    0.000 sre_compile.py:71(_compile)
    85/84    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:34(<module>)
        5    0.000    0.000    0.003    0.001 __init__.py:1(<module>)
       79    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:976(get_data)
        1    0.000    0.000    0.002    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.002    0.002 TiffImagePlugin.py:41(<module>)
        1    0.000    0.000    0.002    0.002 argparse.py:1686(__init__)
        1    0.000    0.000    0.002    0.002 BmpImagePlugin.py:27(<module>)
      299    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      6/5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1106(create_module)
       85    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      6/5    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
      311    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      412    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      154    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
     1988    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
     3038    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
    12968    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      610    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.001    0.001 XbmImagePlugin.py:22(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:40(__getattr__)
        3    0.000    0.000    0.001    0.000 gettext.py:741(gettext)
        3    0.000    0.000    0.001    0.000 gettext.py:664(dgettext)
        3    0.000    0.000    0.001    0.000 gettext.py:583(translation)
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
        3    0.000    0.000    0.001    0.000 gettext.py:542(find)
      158    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
       79    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        6    0.000    0.000    0.001    0.000 gettext.py:211(_expand_lang)
     1977    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 FpxImagePlugin.py:17(<module>)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
  354/101    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.001    0.001 thread.py:4(<module>)
      100    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       85    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
       43    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      368    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
        8    0.000    0.000    0.001    0.000 argparse.py:1385(add_argument)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      610    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        4    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
4171/3855    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 locale.py:1(<module>)
        1    0.000    0.000    0.001    0.001 EpsImagePlugin.py:23(<module>)
        1    0.000    0.000    0.001    0.001 XVThumbImagePlugin.py:20(<module>)
       79    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
        1    0.000    0.000    0.000    0.000 argparse.py:1817(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1824(parse_known_args)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1863(_parse_known_args)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
